Week,Mode of Transport,Year,VALUE
0,3,2023,593351.0
0,0,2023,3532942.0
1,2,2023,2791337.0
1,1,2023,742138.0
1,3,2023,693509.0
1,0,2023,4226984.0
2,2,2023,2948010.0
2,1,2023,791800.0
2,3,2023,737213.0
2,0,2023,4477023.0
3,2,2023,3166957.0
3,1,2023,858179.0
3,3,2023,803814.0
3,0,2023,4828950.0
4,2,2023,3157789.0
4,1,2023,867139.0
4,3,2023,843766.0
4,0,2023,4868694.0
5,2,2023,2957697.0
5,1,2023,803293.0
5,3,2023,783829.0
5,0,2023,4544819.0
6,2,2023,3095444.0
6,1,2023,882482.0
6,3,2023,825296.0
6,0,2023,4803222.0
7,2,2023,3232516.0
7,1,2023,885217.0
7,3,2023,843175.0
7,0,2023,4960908.0
8,2,2023,3207780.0
8,1,2023,878491.0
8,3,2023,860894.0
8,0,2023,4947165.0
9,2,2023,3133172.0
9,1,2023,847587.0
9,3,2023,771731.0
9,0,2023,4752490.0
10,2,2023,2964999.0
10,1,2023,819312.0
10,3,2023,816678.0
10,0,2023,4600989.0
11,2,2023,3207312.0
11,1,2023,849417.0
11,3,2023,851471.0
11,0,2023,4908200.0
12,2,2023,3274633.0
12,1,2023,854952.0
12,3,2023,689730.0
12,0,2023,4819315.0
13,2,2023,3030252.0
13,1,2023,815998.0
13,3,2023,801427.0
13,0,2023,4647677.0
14,2,2023,2814650.0
14,1,2023,736415.0
14,3,2023,731982.0
14,0,2023,4283047.0
15,2,2023,3267439.0
15,1,2023,880537.0
15,3,2023,836941.0
15,0,2023,4984917.0
16,2,2023,3325827.0
16,1,2023,883494.0
16,3,2023,865758.0
16,0,2023,5075079.0
17,2,2023,3082566.0
17,1,2023,825877.0
17,3,2023,872894.0
17,0,2023,4781337.0
18,2,2023,3207366.0
18,1,2023,878188.0
18,3,2023,873808.0
18,0,2023,4959362.0
19,2,2023,3127899.0
19,1,2023,862338.0
19,3,2023,891149.0
19,0,2023,4881386.0
20,2,2023,3173348.0
20,1,2023,870042.0
20,3,2023,890058.0
20,0,2023,4933448.0
21,2,2023,3200660.0
21,1,2023,865585.0
21,3,2023,975543.0
21,0,2023,5041788.0
22,2,2023,2904610.0
22,1,2023,781015.0
22,3,2023,816266.0
22,0,2023,4501891.0
23,2,2023,3057569.0
23,1,2023,802039.0
23,3,2023,880035.0
23,0,2023,4739643.0
24,2,2023,3057052.0
24,1,2023,781908.0
24,3,2023,902728.0
24,0,2023,4741688.0
25,2,2023,3108755.0
25,1,2023,760478.0
25,3,2023,938599.0
25,0,2023,4807832.0
26,2,2023,3046360.0
26,1,2023,810830.0
26,3,2023,858711.0
26,0,2023,4715901.0
27,2,2023,2939504.0
27,1,2023,799946.0
27,3,2023,785124.0
27,0,2023,4524574.0
28,2,2023,2956246.0
28,1,2023,799518.0
28,3,2023,806263.0
28,0,2023,4562027.0
29,2,2023,2998446.0
29,1,2023,788301.0
29,3,2023,814033.0
29,0,2023,4600780.0
30,2,2023,2907903.0
30,1,2023,819255.0
30,3,2023,842625.0
30,0,2023,4569783.0
31,2,2023,2807912.0
